Feature,LASSO_Coefficient,Sign
ITC_15yrs_M_12299,0.8703302633878094,+
DFC_4yrs_M_12298,-0.8031633753283831,-
DFC_16pcw_M_12837,0.7290496556678758,+
OFC_8pcw_M_13058,-0.6409500095394026,-
DFC_4mos_M_12890,0.5329625089924295,+
STR_13pcw_M_12820,0.44410276572080576,+
A1C_30yrs_F_12290,-0.4353056713380352,-
AMY_15yrs_M_12299,0.40487580403496976,+
CBC_10mos_M_12977,0.40412628509429177,+
M1C_8yrs_M_12841,-0.3636838057022822,-
OFC_21yrs_F_13057,0.3325972266574834,+
AMY_3yrs_F_12836,-0.3289083595347034,-
AMY_12pcw_F_12960,0.3219276742705063,+
CBC_4mos_M_12296,-0.24351603577315578,-
MGE_8pcw_M_13058,-0.2418640960264592,-
V1C_16pcw_M_12879,-0.22385267516529458,-
ITC_4mos_M_12889,0.18615804133254085,+
MFC_18yrs_M_12984,0.12947272250116493,+
CBC_30yrs_F_12290,-0.12626869385258366,-
MFC_2yrs_F_12979,-0.12484027430928107,-
AMY_4mos_M_12890,0.10107893365012528,+
MD_37yrs_M_12303,0.1005591536270171,+
STC_24pcw_M_12288,-0.08991964544621268,-
STR_4mos_M_12296,-0.0839455949720153,-
A1C_4mos_M_12889,0.07654164177878472,+
CBC_24pcw_M_12288,-0.0707521447377656,-
STR_16pcw_M_12287,0.061045617012953655,+
HIP_2yrs_F_12979,-0.05131528629677384,-
STR_12pcw_F_12835,0.02993794054399818,+
STR_30yrs_F_12290,-0.02969896006803872,-
ITC_12pcw_F_13060,-0.027720166967034998,-
STR_21pcw_M_12886,0.021891187812300823,+
